date,open,high,low,close,volume,return,volatility_20d
2000-09-15,1978.037,1978.469,1966.879,1978.434,474006400,-0.0005410443519971997,0.01179673014247469
2000-09-18,1979.53,1981.129,1946.176,1946.753,517698500,-0.016013170012242006,0.01182785224366978
2000-09-19,1937.319,1937.367,1895.49,1903.154,674231400,-0.02239575333902144,0.012244573207512426
2000-09-20,1902.912,1922.295,1892.276,1922.289,510608300,0.010054362390011562,0.01261055814438844
2000-09-21,1924.83,1927.515,1905.653,1907.306,488490700,-0.007794353502517004,0.012430951507565065
2000-09-22,1904.573,1904.573,1888.091,1891.984,518016000,-0.008033320295746993,0.012154063797171542
2000-09-25,1889.904,1896.716,1874.21,1875.911,376553300,-0.008495314970951018,0.011870488739802584
2000-09-26,1878.311,1890.672,1878.051,1887.829,344896700,0.006353179868341163,0.012044327439214544
2000-09-27,1889.875,1914.106,1889.873,1914.086,337982200,0.013908569049421393,0.012598946679643236
2000-09-28,1915.497,1917.061,1886.941,1889.289,381802700,-0.012955008291163472,0.011656926121596429
2000-09-29,1888.201,1910.486,1888.07,1910.161,374559100,0.011047542223556084,0.011946805401302317
2000-10-09,1912.076,1915.495,1897.238,1915.35,516677600,0.0027165249421383653,0.011872475200586204
2000-10-10,1917.896,1942.17,1917.683,1942.149,667750600,0.013991698645156259,0.011327869994003982
2000-10-11,1944.248,1948.014,1931.462,1933.726,725288900,-0.004336948400972207,0.010483785711873438
2000-10-12,1933.143,1933.329,1918.466,1926.324,722605600,-0.003827843241493434,0.010084641142575883
2000-10-13,1927.354,1932.318,1911.357,1918.157,664271900,-0.004239681382778859,0.01004413322587633
2000-10-16,1917.446,1917.555,1897.906,1902.809,608503600,-0.008001430539835819,0.009996656590700865
2000-10-17,1902.073,1909.49,1896.945,1909.49,417493600,0.003511124868549542,0.009994852338233995
2000-10-18,1911.705,1922.852,1911.705,1922.845,575503200,0.0069940141084792185,0.010076209117589734
2000-10-19,1925.214,1927.366,1911.182,1913.42,596505800,-0.0049015911318904815,0.01007886219103317
2000-10-20,1913.162,1947.469,1912.378,1947.455,938766100,0.017787521819569108,0.010977969052557055
2000-10-23,1952.956,1960.86,1945.674,1958.938,857797400,0.005896413524317801,0.010453401167941377
2000-10-24,1960.366,1962.13,1945.527,1956.344,635728300,-0.0013241868808507862,0.00899953799867676
2000-10-25,1957.378,1978.992,1957.313,1977.254,1150654400,0.01068830430640011,0.009032614138543789
2000-10-26,1979.296,1980.626,1962.2,1967.673,1065276400,-0.0048456091124357,0.008896837027800504
2000-10-27,1968.171,1971.785,1957.744,1967.405,903711100,-0.00013620149282933536,0.008617814894607412
2000-10-30,1967.653,1974.241,1962.812,1973.578,993944900,0.003137635616459189,0.008257821636154556
