排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
170,检测服务,BK1566,8102.11,111.82,1.4,152275302000,1.33,21,2,胜科纳米,4.55
171,其他数字媒体,BK1295,737.81,10.09,1.39,8552862000,1.55,2,0,凡拓数创,1.58
172,磨具磨料,BK1397,7282.34,99.92,1.39,113594408000,2.67,12,2,金太阳,4.22
173,其他家电Ⅱ,BK1243,1314.37,17.96,1.39,11765580000,1.33,3,0,荣泰健康,2.22
174,其他家电Ⅲ,BK1456,1314.37,17.96,1.39,11765580000,1.33,3,0,荣泰健康,2.22
175,机床工具,BK1395,1775.91,24.13,1.38,131980383000,1.19,19,0,宁波精达,2.11
176,社会服务,BK1214,4570.11,62.01,1.38,556081248000,1.57,72,13,锦江酒店,8.37
177,其他塑料制品,BK1440,4801.39,65.51,1.38,143143418000,1.56,19,4,万朗磁塑,6.13
178,化学制品,BK0538,32621.2,444.27,1.38,1801594080000,1.51,153,24,凌玮科技,11.11
179,底盘与发动机系统,BK1526,4726.22,63.9,1.37,1205420688000,1.78,88,20,华培动力,9.99
180,光伏电池组件,BK1315,3159.16,42.81,1.37,438115776000,5.07,20,3,国晟科技,9.96
181,金属新材料,BK1288,5619.88,75.71,1.37,379440480000,1.44,28,6,龙磁科技,8.76
182,印刷包装机械,BK1406,2654.86,35.84,1.37,58187590000,1.81,10,2,达 意 隆,3.24
183,板材,BK1367,1008.52,13.5,1.36,566014752000,1.24,15,2,包钢股份,4.78
184,资产管理,BK1364,4099.64,54.99,1.36,40947480000,0.35,4,0,四川双马,2.4
185,专业服务,BK1043,1471.28,19.67,1.36,207325619000,1.07,29,4,胜科纳米,4.55
186,厨卫电器,BK1240,6777.56,90.68,1.36,62292251000,2.12,6,3,亿田智能,10.14
187,航运港口,BK0450,12454.47,166.28,1.35,1297378976000,0.87,26,10,锦江航运,10.04
188,通信工程及服务,BK1588,3214.87,42.7,1.35,110879982000,2.94,15,5,世纪鼎利,4.69
189,胶黏剂及胶带,BK1425,3016.63,39.88,1.34,22366100000,1.9,4,1,聚胶股份,2.6
190,零食,BK1583,1906.0,25.13,1.34,102841731000,0.86,9,2,万辰集团,5.85
191,炼油化工,BK1569,3547.55,46.71,1.33,3413798384000,0.15,9,1,恒力石化,2.96
192,商用载货车,BK1530,2168.68,28.4,1.33,250696749000,0.91,8,1,中国重汽,4.4
193,炼化及贸易,BK1274,3708.81,48.07,1.31,3610850496000,0.27,24,6,齐翔腾达,9.12
194,其他医疗服务,BK1599,5028.4,64.49,1.3,25555529000,3.46,4,1,诺禾致源,3.24
195,氟化工,BK1424,12695.1,163.19,1.3,274294048000,1.35,8,2,昊华科技,2.86
196,卫浴制品,BK1541,735.27,9.29,1.28,39423788000,0.95,5,2,松霖科技,4.41
197,垂直应用软件,BK1447,9120.64,115.46,1.28,1143011728000,2.01,89,11,佳发教育,6.07
198,计算机设备,BK0735,1650.84,20.65,1.27,1242439328000,1.28,75,13,道通科技,7.89
199,信托,BK1363,2161.66,27.2,1.27,80046198000,0.42,3,0,国网英大,1.57
200,专业工程,BK1248,4257.05,53.07,1.26,482262720000,2.68,31,9,柏诚股份,9.98
201,棉纺,BK1349,2848.52,34.76,1.24,55972279000,2.02,6,3,孚日股份,10.03
202,钢铁,BK0479,9377.44,114.93,1.24,1049911200000,1.07,38,5,包钢股份,5.18
203,专业工程,BK1248,4256.17,52.19,1.24,482193744000,2.68,31,9,柏诚股份,9.98
204,机械设备,BK1205,4705.35,57.85,1.24,5988109568000,2.03,488,109,卓郎智能,9.89
205,信托,BK1363,2160.55,26.09,1.22,79989013000,0.42,3,0,陕国投Ａ,1.47
206,农用机械,BK1404,1822.68,21.98,1.22,48751872000,0.74,9,0,威马农机,3.78
