target,model,feature,coefficient
future_upratio_5,Macro_SummaryOLS,cpi_yoy_m1,0.103234
future_upratio_5,Macro_SummaryOLS,cpi_yoy_avg12,-0.111806
future_upratio_5,Macro_SummaryOLS,cpi_delta1_m1,0.00029
future_upratio_5,Macro_SummaryOLS,cpi_delta1_avg12,-0.892708
future_upratio_5,Macro_SummaryOLS,ppi_yoy_m1,-0.042344
future_upratio_5,Macro_SummaryOLS,ppi_yoy_avg12,0.040631
future_upratio_5,Macro_SummaryOLS,ppi_delta1_m1,-0.008253
future_upratio_5,Macro_SummaryOLS,ppi_delta1_avg12,0.289241
future_upratio_5,Macro_SummaryOLS,m2_yoy_m1,0.015688
future_upratio_5,Macro_SummaryOLS,m2_yoy_avg12,-0.00923
future_upratio_5,Macro_SummaryOLS,m2_delta1_m1,-0.001954
future_upratio_5,Macro_SummaryOLS,m2_delta1_avg12,-0.14511
future_upratio_5,Macro_SummaryOLS,epu_log_m1,-0.291479
future_upratio_5,Macro_SummaryOLS,epu_log_avg12,0.261223
future_upratio_5,Macro_SummaryOLS,epu_log_delta1_m1,-0.000105
future_upratio_5,Macro_SummaryOLS,epu_log_delta1_avg12,0.903567
future_upratio_5,Macro_SummaryOLS,fx_log_m1,7.257813
future_upratio_5,Macro_SummaryOLS,fx_log_avg12,-6.652356
future_upratio_5,Macro_SummaryOLS,fx_ret1_m1,0.308749
future_upratio_5,Macro_SummaryOLS,fx_ret1_avg12,-45.552413
future_upratio_5,Macro_Ridge,cpi_yoy_m1,-0.000724
future_upratio_5,Macro_Ridge,cpi_yoy_avg12,-0.000488
future_upratio_5,Macro_Ridge,cpi_delta1_m1,0.00016
future_upratio_5,Macro_Ridge,cpi_delta1_avg12,-0.067407
future_upratio_5,Macro_Ridge,ppi_yoy_m1,-0.000248
future_upratio_5,Macro_Ridge,ppi_yoy_avg12,-0.000225
future_upratio_5,Macro_Ridge,ppi_delta1_m1,-0.002132
future_upratio_5,Macro_Ridge,ppi_delta1_avg12,-0.028518
future_upratio_5,Macro_Ridge,m2_yoy_m1,0.000968
future_upratio_5,Macro_Ridge,m2_yoy_avg12,0.000978
future_upratio_5,Macro_Ridge,m2_delta1_m1,-4e-05
future_upratio_5,Macro_Ridge,m2_delta1_avg12,-0.005563
future_upratio_5,Macro_Ridge,epu_log_m1,-0.002208
future_upratio_5,Macro_Ridge,epu_log_avg12,-0.000653
future_upratio_5,Macro_Ridge,epu_log_delta1_m1,-0.024326
future_upratio_5,Macro_Ridge,epu_log_delta1_avg12,-0.110489
future_upratio_5,Macro_Ridge,fx_log_m1,0.012994
future_upratio_5,Macro_Ridge,fx_log_avg12,0.016181
future_upratio_5,Macro_Ridge,fx_ret1_m1,0.034969
future_upratio_5,Macro_Ridge,fx_ret1_avg12,-1.835784
future_upratio_5,Macro_PCR,PC1,0.262548
future_upratio_5,Macro_PCR,PC2,0.141933
future_upratio_5,Factor_OLS,price_factor_m1,0.000489
future_upratio_5,Factor_OLS,price_factor_avg12,-0.02474
future_upratio_5,Factor_OLS,money_factor_m1,0.001122
future_upratio_5,Factor_OLS,money_factor_avg12,0.01477
future_upratio_5,Factor_OLS,policy_factor_m1,-0.015765
future_upratio_5,Factor_OLS,policy_factor_avg12,0.002371
future_upratio_5,Factor_OLS,fx_factor_m1,0.014315
future_upratio_5,Factor_OLS,fx_factor_avg12,0.003352
future_upratio_5,Factor_Ridge,price_factor_m1,-0.000682
future_upratio_5,Factor_Ridge,price_factor_avg12,-0.00626
future_upratio_5,Factor_Ridge,money_factor_m1,0.000824
future_upratio_5,Factor_Ridge,money_factor_avg12,0.002469
future_upratio_5,Factor_Ridge,policy_factor_m1,-0.001722
future_upratio_5,Factor_Ridge,policy_factor_avg12,-0.00115
future_upratio_5,Factor_Ridge,fx_factor_m1,0.0004
future_upratio_5,Factor_Ridge,fx_factor_avg12,0.000121
future_upratio_5,HAR_OLS,past_upratio_5,-0.147387
future_upratio_5,HAR_OLS,past_upratio_20,0.162751
future_upratio_5,HAR_OLS,past_upratio_60,-0.027884
future_upratio_5,HAR_Ridge,past_upratio_5,-0.12784
future_upratio_5,HAR_Ridge,past_upratio_20,0.191894
future_upratio_5,HAR_Ridge,past_upratio_60,0.015328
future_upratio_5,HARplusMacro_Ridge,past_upratio_5,-0.009181
future_upratio_5,HARplusMacro_Ridge,past_upratio_20,0.005232
future_upratio_5,HARplusMacro_Ridge,past_upratio_60,0.004434
future_upratio_5,HARplusMacro_Ridge,cpi_yoy_m1,-0.000723
future_upratio_5,HARplusMacro_Ridge,cpi_yoy_avg12,-0.00049
future_upratio_5,HARplusMacro_Ridge,cpi_delta1_m1,0.000242
future_upratio_5,HARplusMacro_Ridge,cpi_delta1_avg12,-0.067369
future_upratio_5,HARplusMacro_Ridge,ppi_yoy_m1,-0.000249
future_upratio_5,HARplusMacro_Ridge,ppi_yoy_avg12,-0.000226
future_upratio_5,HARplusMacro_Ridge,ppi_delta1_m1,-0.002128
future_upratio_5,HARplusMacro_Ridge,ppi_delta1_avg12,-0.02871
future_upratio_5,HARplusMacro_Ridge,m2_yoy_m1,0.000969
future_upratio_5,HARplusMacro_Ridge,m2_yoy_avg12,0.00098
future_upratio_5,HARplusMacro_Ridge,m2_delta1_m1,-5.5e-05
future_upratio_5,HARplusMacro_Ridge,m2_delta1_avg12,-0.005558
future_upratio_5,HARplusMacro_Ridge,epu_log_m1,-0.002197
future_upratio_5,HARplusMacro_Ridge,epu_log_avg12,-0.000634
future_upratio_5,HARplusMacro_Ridge,epu_log_delta1_m1,-0.024325
future_upratio_5,HARplusMacro_Ridge,epu_log_delta1_avg12,-0.111306
future_upratio_5,HARplusMacro_Ridge,fx_log_m1,0.013207
future_upratio_5,HARplusMacro_Ridge,fx_log_avg12,0.016431
future_upratio_5,HARplusMacro_Ridge,fx_ret1_m1,0.02624
future_upratio_5,HARplusMacro_Ridge,fx_ret1_avg12,-1.838128
future_signbalance_5,Macro_SummaryOLS,cpi_yoy_m1,0.206468
future_signbalance_5,Macro_SummaryOLS,cpi_yoy_avg12,-0.223613
future_signbalance_5,Macro_SummaryOLS,cpi_delta1_m1,0.00058
future_signbalance_5,Macro_SummaryOLS,cpi_delta1_avg12,-1.785415
future_signbalance_5,Macro_SummaryOLS,ppi_yoy_m1,-0.084688
future_signbalance_5,Macro_SummaryOLS,ppi_yoy_avg12,0.081261
future_signbalance_5,Macro_SummaryOLS,ppi_delta1_m1,-0.016506
future_signbalance_5,Macro_SummaryOLS,ppi_delta1_avg12,0.578481
future_signbalance_5,Macro_SummaryOLS,m2_yoy_m1,0.031377
future_signbalance_5,Macro_SummaryOLS,m2_yoy_avg12,-0.01846
