Window,Model,Variable,Coefficient/Importance
R_5d,PCR_60dim,m2_growth_lagm4,2.7749649669427774e-05
R_5d,PCR_60dim,m2_growth_lagm5,3.6716716755021985e-05
R_5d,PCR_60dim,m2_growth_lagm6,4.427285532579199e-05
R_5d,PCR_60dim,m2_growth_lagm7,5.205081245017049e-05
R_5d,PCR_60dim,m2_growth_lagm8,5.869769455457683e-05
R_5d,PCR_60dim,m2_growth_lagm9,6.352850668555711e-05
R_5d,PCR_60dim,m2_growth_lagm10,6.779842029560945e-05
R_5d,PCR_60dim,m2_growth_lagm11,7.142213981288571e-05
R_5d,PCR_60dim,m2_growth_lagm12,7.402284204019306e-05
R_5d,PCR_60dim,epu_lagm1,7.503364176189825e-05
R_5d,PCR_60dim,epu_lagm2,7.956438080707837e-05
R_5d,PCR_60dim,epu_lagm3,8.237802405435206e-05
R_5d,PCR_60dim,epu_lagm4,8.37028248283954e-05
R_5d,PCR_60dim,epu_lagm5,8.465789705264462e-05
R_5d,PCR_60dim,epu_lagm6,8.421879803234687e-05
R_5d,PCR_60dim,epu_lagm7,8.277674197156766e-05
R_5d,PCR_60dim,epu_lagm8,8.217363482882476e-05
R_5d,PCR_60dim,epu_lagm9,7.871756438574819e-05
R_5d,PCR_60dim,epu_lagm10,7.52485432332272e-05
R_5d,PCR_60dim,epu_lagm11,7.113600393821274e-05
R_5d,PCR_60dim,epu_lagm12,6.650194847963899e-05
R_5d,PCR_60dim,usd_cny_lagm1,5.208367873845276e-05
R_5d,PCR_60dim,usd_cny_lagm2,6.0107064946367124e-05
R_5d,PCR_60dim,usd_cny_lagm3,6.695802886894314e-05
R_5d,PCR_60dim,usd_cny_lagm4,7.198111871598646e-05
R_5d,PCR_60dim,usd_cny_lagm5,7.46155246402258e-05
R_5d,PCR_60dim,usd_cny_lagm6,7.547115598124536e-05
R_5d,PCR_60dim,usd_cny_lagm7,7.397748181329087e-05
R_5d,PCR_60dim,usd_cny_lagm8,7.123490015248998e-05
R_5d,PCR_60dim,usd_cny_lagm9,6.565357943956252e-05
R_5d,PCR_60dim,usd_cny_lagm10,5.875773451787979e-05
R_5d,PCR_60dim,usd_cny_lagm11,5.133985448034391e-05
R_5d,PCR_60dim,usd_cny_lagm12,4.519350056039292e-05
R_5d,PCR_15dim,cpi_m1,0.0002690849060895093
R_5d,PCR_15dim,cpi_m3avg,0.0003102117248048405
R_5d,PCR_15dim,cpi_m12avg,0.00038106804044968665
R_5d,PCR_15dim,ppi_m1,0.0003272659748165629
R_5d,PCR_15dim,ppi_m3avg,0.00031101563023036246
R_5d,PCR_15dim,ppi_m12avg,0.00018490367644567526
R_5d,PCR_15dim,m2_growth_m1,5.640168458841657e-05
R_5d,PCR_15dim,m2_growth_m3avg,1.2458715133256256e-06
R_5d,PCR_15dim,m2_growth_m12avg,0.00018361876537254288
R_5d,PCR_15dim,epu_m1,0.00036565055102265613
R_5d,PCR_15dim,epu_m3avg,0.00038440026619179606
R_5d,PCR_15dim,epu_m12avg,0.0003385712119236333
R_5d,PCR_15dim,usd_cny_m1,0.00033560809427874046
R_5d,PCR_15dim,usd_cny_m3avg,0.00035395473219625346
R_5d,PCR_15dim,usd_cny_m12avg,0.00031439438440902746
R_60d,Ridge_60dim,cpi_lagm1,0.001985864235831874
R_60d,Ridge_60dim,cpi_lagm2,0.0018717193551438438
R_60d,Ridge_60dim,cpi_lagm3,0.0012988927049972373
R_60d,Ridge_60dim,cpi_lagm4,0.0009584579137955901
R_60d,Ridge_60dim,cpi_lagm5,0.0009307667628040589
R_60d,Ridge_60dim,cpi_lagm6,0.000940549227835015
R_60d,Ridge_60dim,cpi_lagm7,0.0011238666658685335
R_60d,Ridge_60dim,cpi_lagm8,0.0011358333722498821
R_60d,Ridge_60dim,cpi_lagm9,0.001063425031091102
R_60d,Ridge_60dim,cpi_lagm10,9.380448980638635e-05
R_60d,Ridge_60dim,cpi_lagm11,9.499444086102096e-06
R_60d,Ridge_60dim,cpi_lagm12,-0.0007308334686428236
R_60d,Ridge_60dim,ppi_lagm1,0.0005670515543264254
R_60d,Ridge_60dim,ppi_lagm2,0.000594733522715234
R_60d,Ridge_60dim,ppi_lagm3,0.0002829278353065022
R_60d,Ridge_60dim,ppi_lagm4,-1.4229399628273546e-05
R_60d,Ridge_60dim,ppi_lagm5,-0.0002641772363466239
R_60d,Ridge_60dim,ppi_lagm6,-0.0004725113092122519
R_60d,Ridge_60dim,ppi_lagm7,-0.0007285409794632778
R_60d,Ridge_60dim,ppi_lagm8,-0.0009703509388864376
R_60d,Ridge_60dim,ppi_lagm9,-0.0010221342603008712
R_60d,Ridge_60dim,ppi_lagm10,-0.0009957980494695981
R_60d,Ridge_60dim,ppi_lagm11,-0.0009945394080714059
R_60d,Ridge_60dim,ppi_lagm12,-0.0010178345335358696
R_60d,Ridge_60dim,m2_growth_lagm1,0.0003306849644166039
R_60d,Ridge_60dim,m2_growth_lagm2,0.0004470648915500599
R_60d,Ridge_60dim,m2_growth_lagm3,0.0006663258221731185
R_60d,Ridge_60dim,m2_growth_lagm4,0.0005838757644950996
R_60d,Ridge_60dim,m2_growth_lagm5,0.00017165454214638208
R_60d,Ridge_60dim,m2_growth_lagm6,-0.00028705450683662277
R_60d,Ridge_60dim,m2_growth_lagm7,-0.0004708340844753089
R_60d,Ridge_60dim,m2_growth_lagm8,-0.00031487992531114173
R_60d,Ridge_60dim,m2_growth_lagm9,-0.00013146918599022775
R_60d,Ridge_60dim,m2_growth_lagm10,-0.00020950526145395405
R_60d,Ridge_60dim,m2_growth_lagm11,-0.0003540419305894542
R_60d,Ridge_60dim,m2_growth_lagm12,-0.00027723312337115655
R_60d,Ridge_60dim,epu_lagm1,0.0008394893870979085
R_60d,Ridge_60dim,epu_lagm2,0.0007553974040120081
R_60d,Ridge_60dim,epu_lagm3,0.0010182436974393201
R_60d,Ridge_60dim,epu_lagm4,0.0014004776516730545
R_60d,Ridge_60dim,epu_lagm5,0.001424720391005601
R_60d,Ridge_60dim,epu_lagm6,0.0008559133339398589
R_60d,Ridge_60dim,epu_lagm7,0.000788352476562185
R_60d,Ridge_60dim,epu_lagm8,0.0003346526042356152
R_60d,Ridge_60dim,epu_lagm9,0.000258450915602073
R_60d,Ridge_60dim,epu_lagm10,-0.00011545991308456794
R_60d,Ridge_60dim,epu_lagm11,-0.001038915889788592
R_60d,Ridge_60dim,epu_lagm12,-0.0009455690220652181
R_60d,Ridge_60dim,usd_cny_lagm1,0.003277682588089607
R_60d,Ridge_60dim,usd_cny_lagm2,0.002845190668411944
R_60d,Ridge_60dim,usd_cny_lagm3,0.0023281626088561716
R_60d,Ridge_60dim,usd_cny_lagm4,0.0022261500475588944
R_60d,Ridge_60dim,usd_cny_lagm5,0.0017421615618881023
R_60d,Ridge_60dim,usd_cny_lagm6,0.0007007771538474331
R_60d,Ridge_60dim,usd_cny_lagm7,-0.0002350379418838393
R_60d,Ridge_60dim,usd_cny_lagm8,-0.0009874122271912068
R_60d,Ridge_60dim,usd_cny_lagm9,-0.00122687989761277
R_60d,Ridge_60dim,usd_cny_lagm10,-0.0011957414626402722
R_60d,Ridge_60dim,usd_cny_lagm11,-0.0012397001505157089
R_60d,Ridge_60dim,usd_cny_lagm12,-0.0014126518064044413
R_60d,Ridge_15dim,cpi_m1,0.004394390831208792
R_60d,Ridge_15dim,cpi_m3avg,0.003907497150265589
R_60d,Ridge_15dim,cpi_m12avg,0.003330131571333726
