date,market_return,abnormal_return,abs_ar,hs300_close,hs300_volume,ivix,north_flow,margin_balance,usd_cny,gdp_growth,cpi,ppi,m2_growth,epu,volatility_20d,volatility_60d,momentum_5d,momentum_10d,momentum_20d,volume_ratio_5d,volume_ratio_20d,intraday_range,sentiment_zscore,sentiment_level,amihud
2018-05-03,0.0077993520113208,0.0014115333303428,0.0014115333303428,3793.0,9396111800,25.3,4.07679999999999,9769.6,637.32,12.4,2.1,3.1,8.2,374.10382,0.010933930999034,0.0126435981501965,-0.0129987511016613,0.0123704218878729,-0.026280565900932,1.087218152692914,0.9979398983519924,0.0171776957553388,-0.4313160308633706,中性,0.0083006164436239
2018-05-04,-0.0048515686791458,-0.0016827693238703,0.0016827693238703,3774.598,7155428800,25.66,-13.3396,9746.6,635.21,12.4,2.1,3.1,8.2,374.10382,0.0109569988688591,0.0124780615469516,-0.0140030341504854,0.0028128810977674,-0.0281620163447985,0.8408283014508469,0.7763238504851828,0.0081028496279603,0.4099741858265922,中性,0.0067802626715338
2018-05-07,0.0157871116341397,0.0010308796560274,0.0010308796560274,3834.188,8728619500,25.46,27.0898,9769.4,635.84,12.4,2.1,3.1,8.2,374.10382,0.0115361286967347,0.0126365199947972,0.0209049179146932,0.0065029166234267,-0.0060874055371489,1.0253659336837095,0.9510567990894696,0.0152723340639529,-0.0473966089361477,中性,0.0180866076636055
2018-05-08,0.0116032390691327,0.0036798049540192,0.0036798049540192,3878.677,9421515700,24.13,19.4055,9781.1,636.74,12.4,2.1,3.1,8.2,374.10382,0.0118285084398782,0.0127269104529198,0.0321398965099709,0.0314826247653937,0.0074878825781925,1.094716027696303,1.023495548554344,0.0150422424966038,0.5225315949796724,中性,0.0123156819333567
2018-05-09,-0.0018207239221003,-0.0010780380181396,0.0010780380181396,3871.615,6671296600,23.68,21.8643,9807.1,637.33,12.4,2.1,3.1,8.2,374.10382,0.0118373241798985,0.0127067014917504,0.0285174101133471,0.028206912162531,0.0061688626076982,0.8062384949648916,0.7316405105763686,0.0059920730754478,-1.632771135199301,恐惧,0.0027291904876486
2018-05-10,0.0055382572905622,0.0007068944239683,0.0007068944239683,3893.057,7066780900,22.27,30.0867,9828.0,637.68,12.4,1.8,3.4,8.2,374.10382,0.0110518507975854,0.0127025763950828,0.0262563153925885,0.0132575642909271,-0.0075623761137345,0.904984861619529,0.7904020924152327,0.0069821736491399,-0.7903080174551423,中性,0.0078370298569214
2018-05-11,-0.005193604922815,-0.0016811445088739,0.0016811445088739,3872.838,7335660400,21.78,25.4995,9792.2,635.24,12.4,1.8,3.4,8.3,374.10382,0.0110746256920323,0.0127083988653496,0.0259142791489193,0.0119112449984338,-0.0156002662259211,0.9351014854267412,0.8385663205814923,0.0081041344874223,-0.577528291790145,中性,0.0070799418724659
2018-05-14,0.0094129937787224,0.0060085977484207,0.0060085977484207,3909.293,8197599900,20.52,56.858,9800.0,633.45,12.4,1.8,3.4,8.3,374.10382,0.0110707261277147,0.0122504959924698,0.019540161293502,0.0404450792081952,0.0038951403847967,1.059317051920195,0.9374854682946164,0.008294594444571,0.1035745285384253,中性,0.0114826216130923
2018-05-15,0.0037871297955922,-0.0019109854092953,0.0019109854092953,3924.098,7604955500,19.57,36.3212,9809.9,634.86,12.4,1.8,3.4,8.3,374.10382,0.0109620939395364,0.0118922968049941,0.0117240520199615,0.0438639485299324,0.0147337125441908,1.0311442419295431,0.8674753060616224,0.0080077001135037,-0.0782373733626899,中性,0.0049798184822938
2018-05-16,-0.0079646328914313,-0.0008994178837155,0.0008994178837155,3892.844,7191364600,20.16,11.0733,9815.8,637.45,12.4,1.8,3.4,8.3,374.10382,0.0104441066003303,0.011874244233407,0.0055801430506304,0.0340975531639776,0.0228576054218861,0.9615059259789536,0.8332743624533331,0.0087737910894964,-0.215871729581021,中性,0.0110752733791738
2018-05-17,-0.007396391943782,-0.002574910131609,0.002574910131609,3864.051,5903012300,18.78,22.7985,9835.8,636.79,12.4,1.8,3.4,8.3,374.10382,0.0098794100371054,0.0105431822117943,-0.0073545061837138,0.0189018092088747,0.0312722310967477,0.8145997650342036,0.696738903596371,0.0105228942371619,0.1922975653007086,中性,0.0125298602948566
2018-05-18,0.0100963988311748,-0.002274082828207,0.002274082828207,3903.064,7261395600,18.36,34.3788,9816.3,637.63,12.4,1.8,3.4,8.3,374.10382,0.0100418422108673,0.0104923285516916,0.0079354975702761,0.0338497767191954,0.0366626578169628,1.0041110888869391,0.8746528969150803,0.0156717901628053,-0.1634657684989267,中性,0.0139042126160635
2018-05-21,0.0046573666227354,-0.0017739053235847,0.0017739053235847,3921.242,9264173700,17.95,34.3788,9849.3,638.52,12.4,1.8,3.4,8.3,374.10382,0.0097758930315103,0.0103993890551616,0.0031798704142891,0.0227200317077911,0.0292229483312178,1.244351667421596,1.1202185999828966,0.0060837867185957,-0.0002015345895248,中性,0.0050272876713607
2018-05-22,-0.0038339893329715,-0.0039926780044672,0.0039926780044672,3906.208,7536877800,17.91,34.3788,9888.9,637.99,12.4,1.8,3.4,8.3,374.10382,0.0092313090559354,0.0103576060356413,-0.0044412487142746,0.0072828033056868,0.0387654280710806,1.0141983340664422,0.9247250325194364,0.0096374796221809,-0.1797156612518139,中性,0.0050869729279298
2018-05-23,-0.0132161420999598,0.0009036643927992,0.0009036643927992,3854.583,8372231900,18.57,22.3112,9909.0,637.73,12.4,1.8,3.4,8.3,374.10382,0.0098349132481224,0.0100862600915844,-0.0096927579228031,-0.0041126148721726,0.0240942972903583,1.0919061132927428,1.031415025586666,0.01133326224912,-0.3689882303751789,中性,0.0157856856544547
2018-05-24,-0.0070996006571917,-0.002582982607886,0.002582982607886,3827.217,6834502200,17.98,20.4888,9926.4,638.16,12.4,1.8,3.4,8.3,374.10382,0.0088759401434462,0.0100941370291383,-0.0093959666362127,-0.0167504728199265,-0.0034929085289994,0.8702119564438486,0.8664587471453256,0.0091917965456361,0.1469231723113543,中性,0.0103878826130039
2018-05-25,-0.0028007296163243,0.0014304832817109,0.0014304832817109,3816.498,7083638600,17.99,20.3426,9891.6,638.67,12.4,1.8,3.4,8.3,374.10382,0.0088562116865463,0.0099597296800989,-0.022293095083712,-0.0143575975134359,-0.002446352515002,0.9060348586634508,0.90223926091677,0.0096918693524795,0.3579594150194402,中性,0.003953800828185
2018-05-28,0.0043919844842053,0.0063723728771747,0.0063723728771747,3833.26,7152113200,18.2,38.7221,9897.2,639.62,12.4,1.8,3.4,8.3,374.10382,0.0076846039903569,0.0098321283635164,-0.0225584772222421,-0.019378606807953,0.0210664724002422,0.9670411392178714,0.920119344151242,0.0123216270224299,0.0130788828176368,中性,0.006140820707655
2018-05-29,-0.0076308416334921,-0.0029671677646746,0.0029671677646746,3804.009,8155266200,18.8,14.6587,9883.6,640.21,12.4,1.8,3.4,8.3,374.10382,0.0079264904432553,0.0098186363110183,-0.0263553295227627,-0.0307965782370374,0.013067370292895,1.0845417271635236,1.054587680806995,0.0108054423635695,-0.6778333937987265,中性,0.0093569497872333
2018-05-30,-0.0211978993740551,0.0041246411095463,0.0041246411095463,3723.372,8791328500,21.47,12.7001,9838.7,642.07,12.4,1.8,3.4,8.3,374.10382,0.009300440401549,0.010114441989013,-0.034337086796858,-0.0440298447196612,-0.0099322915556835,1.1562410879153169,1.1334591240290823,0.0123047065939154,-1.3511447826858265,恐惧,0.0241122822040549
2018-05-31,0.0212184009548335,0.003453478186266,0.003453478186266,3802.376,9266689400,20.27,57.477700000000006,9829.0,641.44,12.4,1.8,3.4,8.3,374.10382,0.0103547114519237,0.0104845781403737,-0.0060190851848328,-0.0154150518210456,0.0034867573878291,1.1454771657487144,1.1957446634091216,0.0163747614649366,-0.3569024428832511,中性,0.0228974988142297
2018-06-01,-0.0083597729419711,-0.0017898582859281,0.0017898582859281,3770.589,7782181300,20.47,21.9287,9784.5,640.78,12.4,1.8,3.4,8.3,465.41684,0.010473366903592,0.0105276428370471,-0.0115781285104795,-0.0338712235941915,-2.144687499616716e-05,0.9456426799315962,1.0001440819082008,0.0129149583791815,-0.0078242671014369,中性,0.0107421976174868
2018-06-04,0.0098098732054858,0.0045892927890687,0.0045892927890687,3807.578,7662434100,19.52,60.3214,9759.6,642.08,12.4,1.8,3.4,8.3,465.41684,0.0100769105591802,0.0104841819418941,-0.0061602397891989,-0.0287187170114411,-0.0059986853036499,0.9196856048874956,0.9915477581153715,0.0096617849982324,-0.0399454223432019,中性,0.0128025547462599
2018-06-05,0.009911287437841,0.0024659370858246,0.0024659370858246,3845.316,7868736000,18.74,37.3664,9760.5,641.57,12.4,1.8,3.4,8.3,465.41684,0.0099783417569782,0.0105447505637071,0.0113818892821342,-0.0149734402406285,-0.0076906369349416,0.9509881027795712,1.0285778909978789,0.0116086688324184,-0.2993800177657551,中性,0.0125957808698132
2018-06-06,-0.0020713512231503,-0.0023841115222441,0.0023841115222441,3837.351,7311723700,18.86,26.6042,9754.2,640.4,12.4,1.8,3.4,8.3,465.41684,0.0099803975012894,0.0104482585144893,0.0305084374330389,-0.0038286493638191,-0.0079412642359917,0.9164452602742102,0.9517829779805864,0.0045432382912065,-0.7918222360706113,中性,0.0028329178017905
2018-06-07,-0.0016516602208138,0.0001719904189565,0.0001719904189565,3831.013,8025614700,18.23,41.4189,9754.1,639.19,12.4,1.8,3.4,8.3,465.41684,0.0098843831900028,0.0103869523538048,0.0076383762573916,0.0016192910725587,-0.0151311817473678,1.0382239930941672,1.038232451918597,0.0083949075610028,-0.0861864494960663,中性,0.0020579859394618
2018-06-08,-0.0134160338270843,0.0002038451309084,0.0002038451309084,3779.616,8333733500,19.24,1.4284,9721.6,640.03,12.4,1.8,3.4,8.3,465.41684,0.0102431340238352,0.0104792295564614,0.0025821153722783,-0.0089960131382011,-0.0233536106516371,1.062915419480345,1.0711769133283744,0.0159246336135734,-0.1179032481291456,中性,0.0160984675440897
2018-06-11,9.683523405557004e-05,0.0047803392579892,0.0047803392579892,3779.982,6870983400,20.04,42.616800000000005,9705.4,640.64,12.4,1.8,4.1,8.3,465.41684,0.0099441146008858,0.0104355213194164,-0.0071309225991519,-0.0132911623883509,-0.0326697691963039,0.8944079472791283,0.8907566911588098,0.0095325850758019,0.0339003064169248,中性,0.0001409335875495
2018-06-12,0.0121616981244885,0.0033110854212599,0.0033110854212599,3825.953,7320624400,18.94,24.921100000000003,9702.3,641.21,12.4,1.8,4.1,8.3,465.41684,0.0103523205880705,0.0105694772385775,-0.0048805119125044,0.0065013773696297,-0.0242952008674076,0.9667335299566766,0.9508006705360214,0.017043335346775,-0.1218777480431609,中性,0.0166129246085737
2018-06-13,-0.0098312760245616,-8.87666035014334e-05,8.87666035014334e-05,3788.339,6637797000,19.25,14.1626,9676.6,641.56,12.4,1.8,4.1,8.3,465.41684,0.0104245399645195,0.0105941329857647,-0.0126404367139157,0.0178680007191232,-0.026161844000538,0.8924468373542936,0.8652256020433922,0.0093391853263396,0.183552136672434,中性,0.0148110525593983
